date,value
2021-01-01,4295760000.0
2020-01-01,4048600000.0
2019-01-01,4019150000.0
2018-01-01,3974520000.0
2017-01-01,3914030000.0
2016-01-01,3888200000.0
2015-01-01,3998340000.0
2014-01-01,4136330000.0
2013-01-01,4244259410.2230597
2012-01-01,4117269005.52549
2011-01-01,3889610961.62815
2010-01-01,3490082595.22772
2009-01-01,3250029260.1850796
2008-01-01,3006049423.72758
2007-01-01,2904101164.74166
2006-01-01,2706394452.73094
2005-01-01,2433754386.92635
2004-01-01,2121618270.0387301
2003-01-01,1837602369.29935
2002-01-01,1535844994.7880101
2001-01-01,1430628772.96188
2000-01-01,1356896527.9252203
